Procedure,Statement,producer statement,consumer statement,cost,result size,Fragment
7,45,{},"{51 ,52 ,55 ,58 ,59}",0.047481,2880404,"{1,3,11,14,4}"
7,46,{},"{52 ,55}",0.061239,99090,{87}
7,47,{},"{51 ,52 ,59}",0.045698,73049,"{30,26,24,32}"
7,48,{},{51},1.850266,18000,"{56,52}"
7,49,{},{59},0.06373,719384,"{125,143,145,140,128}"
7,50,{},{59},0.21029,2475827,"{190,204,206,186,189}"
7,51,"{45,47,48}",{56},0.172189,188834,{}
7,52,"{45,46,47}","{53 ,57 ,58}",0.153756,60896,{}
7,53,{52},{54},0.147734,1,{}
7,54,{53},{55},0.219802,914,{}
7,55,"{45,46,54}",{59},0.234782,12356,{}
7,56,{51},{59},0.185123,21358,{}
7,57,{52},{58},0.145325,1258,{}
7,58,"{45,52,57}",{59},0.189258,11235,{}
7,59,"{45,47,49,50,55,56,58}",{60},0.15826,1258,{}
7,60,{59},{61},0.12612,3654,{}
7,61,{60},{},0.19825,58745,{}
